code_region;nom_region;population;nb_departements;boites;remboursement;base_secu;rem_atc_A;rem_atc_B;rem_atc_C;rem_atc_D;rem_atc_G;rem_atc_H;rem_atc_J;rem_atc_L;rem_atc_M;rem_atc_N;rem_atc_P;rem_atc_R;rem_atc_S;rem_atc_V;depenses_par_hab;boites_par_hab;cout_moyen_boite;taux_remboursement;part_atc_A;part_atc_B;part_atc_C;part_atc_D;part_atc_G;part_atc_H;part_atc_J;part_atc_L;part_atc_M;part_atc_N;part_atc_P;part_atc_R;part_atc_S;part_atc_V
11;Île-de-France;12427975;8;378880150;4226886392.54;4858629748.34;403664903.28;364606644.11;301494965.41;97312598.73;91597985.6;111190558.18;601468625.2;1223751862.43;88187852.9;446603209.36;9026025.98;273439430.03000003;188025010.04;26516721.29;340.1106288466142;30.48607275119237;11.156262455396515;0.869974995313063;0.09549935006354207;0.08625891738029476;0.071327908396617;0.023022288676068106;0.021670321152151284;0.026305546885821058;0.14229590515172763;0.28951614706034934;0.020863549362396417;0.10565772719801665;0.0021353840964190487;0.06469050848222258;0.04448309998864505;0.006273346105729069
24;Centre-Val de Loire;2630743;6;89919102;922834383.29;1058798098.71;102535226.16;81656783.75;89432953.14;15526131.11;13075172.99;16944109.83;69013390.79;280027904.64;9441924.17;119915162.93;1488573.1500000001;68361641.68;51218466.06;4196942.89;350.78849712419645;34.18011641578064;10.262940384902866;0.871586740110647;0.11110902239516837;0.08848476522827978;0.0969111627821693;0.01682439600337358;0.014168493531185582;0.018360943346727606;0.07478415633362093;0.30344329352106664;0.010231439509588453;0.12994223568316782;0.0016130447423221088;0.07407790923034716;0.05550125459933653;0.004547883093646191
27;Bourgogne-Franche-Comté;2872386;8;101375346;1047835501.13;1200983202.19;116388731.61;97654138.8;109300089.06;20747600.38;14599716.76;19647346.26;69732919.57;296987911.7;10654636.91;147028971.53;1145356.1;86569644.94;52603338.87;4775098.64;364.7962011825709;35.29307899425773;10.336196545558522;0.8724813962587201;0.11107538490963974;0.09319605863199754;0.10431035114016399;0.019800436573894954;0.013933214463773625;0.018750410955547924;0.06654949130354819;0.2834299003800923;0.010168234325435524;0.14031684493552848;0.0010930686150305393;0.0826175910690582;0.050201905559863015;0.004557107136425965
28;Normandie;3398102;5;126659846;1249362049.89;1438593547.86;129111690.99;121147870.79;118486679.45;24436347.63;17516953.78;25169982.74;91275719.79;364457589.95;12442673.3;162820281.36;1746639.2;107132816.19;67551548.31;6065256.41;367.6646698333364;37.27370337912164;9.863915750300219;0.8684607627696553;0.10334209447242904;0.09696778511934667;0.09483774495986343;0.01955906026771943;0.014020718639198524;0.02014626804313136;0.07305786164870012;0.29171495162838396;0.00995922142912498;0.13032273661132535;0.0013980248560885795;0.08575001633788419;0.05406883322248148;0.0048546827643228116
32;Hauts-de-France;6085665;5;237727044;2290197999.1;2660023413.36;265176500.65;212536919.6;214492330.55;58315017.14;34354137.02;52156221.26;159882696.71;679827916.83;39949606.47;276904209.61;2874441.72;188422322.43;92837003.52;12468675.59;376.32666259151625;39.063445654665514;9.633729341706701;0.8609691131278967;0.11578758725411901;0.09280285795530455;0.09365667537666657;0.025462871403658806;0.015000509577556378;0.022773673403127723;0.06981173539267373;0.29684242021744767;0.017443734771272774;0.12090841478283432;0.0012551062052842574;0.08227337658318017;0.04053667130810655;0.0054443657687675605
44;Grand Est;5665457;10;206198786;2126936017.75;2447580524.6;239246672.71;216927266.82;209491079.43;47335933.27;30490475.4;36922309.13;150454067.96;630875286.87;33120581.76;250963256.17;4022978.93;169942353.34;96702151.66;10441604.3;375.4217917018874;36.39579048962864;10.31497837116267;0.8689953185902222;0.11248418885824757;0.10199049948360864;0.09849430245278942;0.022255457087080027;0.014335398500729065;0.017359388727197646;0.07073746774910479;0.29661225424983756;0.015571969012512624;0.11799285642615799;0.0018914433233660445;0.07990007782169921;0.04546547279889374;0.004909223508775667
52;Pays de la Loire;3944100;5;118459822;1304068487.54;1490412451.66;119666688.85;125122613.73;116753082.02;25178747.49;19736779.6;32249635.13;103997459.29;399823931.51;17470922.11;160845891.76;2533629.58;96997489.66;77574256.94;6117359.87;330.6377849293882;30.034690296899164;11.00852985867225;0.8749715463578871;0.09176411361318892;0.0959478853492057;0.08952986989221975;0.019307841367670258;0.01513477228272845;0.02473001643559062;0.07974846435111796;0.3065973415738536;0.013397242765184225;0.12334159846421895;0.0019428654278575883;0.0743806714039816;0.059486336554559635;0.00469098051862277
53;Bretagne;3482543;4;115690558;1217912005.85;1390268409.6;100059757.29;119866472.73;108104650.91;26686007.16;16887197.17;25694118.24;87766887.64;382426588.82;12009864.71;147871737.44;1916916.5;113293632.03999999;69918904.09;5409271.11;349.7191580549041;33.22013769822799;10.527324155960939;0.8760265265614505;0.08215680345491523;0.09841964949376068;0.08876228363850643;0.0219112768671456;0.013865695624056323;0.021096859310511248;0.07206340623824142;0.3140018219568322;0.009861028261740575;0.12141413889486867;0.0015739367793341965;0.09302283867456466;0.05740883064963507;0.00444143015588781
75;Nouvelle-Aquitaine;6206404;12;226805877;2390147161.81;2735844374.59;236844858.45;243092345.92;226718209.4;44588896.25;32936176.23;48955567.5;188413086.84;701773918.36;32627331.43;328480869.12;6228546.49;174874289.87;114363809.1;10249256.85;385.10982556243516;36.54384680726553;10.538294657197088;0.8736414921876515;0.09909216563495746;0.10170601618350232;0.09485533486076726;0.018655293264969477;0.01377997838637611;0.020482239873015663;0.07882907372838055;0.2936111757355408;0.013650762577017275;0.1374312320046643;0.0026059259402602115;0.07316465390255385;0.047848019957647744;0.004288127950346994
76;Occitanie;6144768;13;218938300;2361642014.3;2700501670.29;233103950.55;219350823.83;214503978.3;53838023.160000004;33164689.54;61472305.51;201104963.7;668138049.22;41319757.64;323065125.52;2692507.8;174067632.34;124645561.97;11174645.22;384.3337965404064;35.63003517789443;10.786792508665684;0.8745197384182286;0.09870418511295537;0.09288064088536994;0.09082832071971747;0.02279686033446428;0.014043063825585836;0.026029476583571295;0.08515471967482263;0.28291250120651273;0.017496198572774516;0.13679682338127683;0.001140099889693938;0.0737061888660523;0.05277919397404751;0.004731726973155247
84;Auvergne-Rhône-Alpes;8284162;12;261041766;2852642471.56;3245764426.26;270425345.43;266994376.71;231943233.3;58548026.62;46154146.39;66374822.74;228394974.0;858358814.4;49371372.39;374201143.13;4126140.55;232831489.3;150597229.78;14321356.82;344.34894821709184;31.51094413653427;10.927915924228003;0.8788815505156721;0.0947981908444751;0.09359545732486801;0.08130820304766731;0.020524137603540042;0.016179436031729586;0.023267837943849366;0.0800643530610759;0.30089954242691924;0.017307241577666305;0.13117702160739542;0.0014464275110310522;0.08161958311329266;0.052792185239268416;0.005020382667221597
93;Provence-Alpes-Côte d'Azur;5201894;6;222015289;2280636247.36;2591968916.29;231809086.51;221117606.76;194586882.64;51923166.15;37049901.18;46227337.33;213223351.17;683245624.11;27181504.73;264200385.94;2981411.94;173695265.12;121692240.05000001;11702483.73;438.4242061372262;42.67970262369821;10.272428793676458;0.8798856471721798;0.10164228810198717;0.09695435079397667;0.08532131455213353;0.022766965231787745;0.016245423277336715;0.02026949163134255;0.09349292392279623;0.2995855322833292;0.011918386705229534;0.11584503501855277;0.0013072720138738467;0.07616088068453035;0.05335889938207704;0.005131236401046622
